fr_number,v_id,v_bbox,lp_bbox,lp_bbox_score,lp,lp_score
15,337,179.9748735391748 617.5205795335746 571.8287982125038 972.6917520694487,309.3063049316406 851.966064453125 423.3857421875 886.0830688476562,0.6419246196746826,AKE<DMM,0.2152348502267824
16,337,179.45927478601934 617.9844623590823 572.2250070067875 973.6222361317643,309.2319641113281 851.9685668945312 423.4266052246094 886.0509033203125,0.6421080827713013,AKE<DMM,0.2152348502267824
17,337,178.17187913761776 618.7043392318627 571.989235531174 974.9470920491405,307.7771301269531 851.6964111328125 424.7314147949219 889.705078125,0.6284760236740112,LB4,0.24814202085539516
18,337,177.47104641050225 618.8524231198513 572.0694366751635 975.536330422283,307.7295227050781 851.7114868164062 424.61810302734375 889.7237548828125,0.6282850503921509,LB4,0.2835114037728334
19,337,171.5992903407892 621.8808417632512 573.1318565691511 978.6590938212358,309.0024108886719 857.5765991210938 426.7939758300781 894.2551879882812,0.5610818266868591,AKG#@HV,0.22708274664903805
20,337,168.29087553347952 623.0091290420332 574.8060083463967 979.7808951099491,308.92608642578125 857.555419921875 426.73016357421875 894.2180786132812,0.5606192946434021,AKGAOMV,0.2606367253044728
21,337,165.16332950262426 625.9249588374065 574.2138548712376 983.2702120999915,307.5815734863281 861.0195922851562 423.91217041015625 898.59716796875,0.6129841804504395,AK64DAV,0.15344465265703797
22,337,163.65690165411425 626.8987546657927 574.4673143954639 984.6041171329109,307.57891845703125 861.0283203125 423.8435363769531 898.6102905273438,0.6132616996765137,AK64DAV,0.15344465265703797
23,337,164.69621731826962 628.1093427941852 575.0015847607933 986.5056669835627,303.9833679199219 861.5386962890625 421.4873046875 899.7836303710938,0.6195092797279358,4K64DXV,0.1897428971355821
24,337,165.22217760852334 628.4040001919373 575.1626600072944 987.3130219853683,303.9728088378906 861.5385131835938 421.45245361328125 899.7864379882812,0.6197232604026794,HB,0.22205069580825193
25,337,165.64008980528845 629.5109426773474 573.298538620856 989.1058101428716,303.06097412109375 864.3956909179688 420.3460388183594 902.1033935546875,0.6583359837532043,AKE4@MV,0.2965121318672474
26,337,166.27456560120643 629.7874587784023 572.1928825772867 989.930727664375,303.0780029296875 864.3929443359375 420.3521728515625 902.1064453125,0.6587052941322327,AKE4@MV,0.2965121318672474
27,337,165.54750557978437 631.5736834540628 569.5555361216705 993.10638139311,304.2335510253906 869.6808471679688 426.6080017089844 905.2952880859375,0.610124945640564,AK64DMV,0.4644209864571964
28,337,165.6923712313041 631.9168474587168 568.2404064366851 994.4034546571897,304.27862548828125 869.6763305664062 426.6419982910156 905.3040161132812,0.609972357749939,AK64DMV,0.4644209864571964
29,337,166.18094740739699 632.3879087791751 567.8011950867599 995.7063651026962,300.89501953125 872.2305297851562 421.6766357421875 906.0625610351562,0.6164525151252747,AK64DHV,0.6844522910417671
30,337,166.48686351314956 632.3140070324454 567.483052507067 996.2168766648246,300.8895568847656 872.2300415039062 421.68603515625 906.0599365234375,0.6164321899414062,AK64DHV,0.6844522910417671
31,337,167.0042606049841 634.3707082995315 567.2579688209943 998.625116752135,292.1435546875 872.7901000976562 426.4955749511719 914.1016845703125,0.5569707751274109,ARG4DHV,0.3207017292485999
