fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
43,1,1092.70458984375 691.6868896484375 1188.895263671875 727.4029541015625,0.4723033905029297,JO5EPD,0.1436262930629576
44,1,1091.880126953125 691.5350341796875 1186.0626220703125 728.662353515625,0.3550322949886322,D6EPD,0.05514246704463442
45,1,1091.864990234375 691.5424194335938 1186.0323486328125 728.6680297851562,0.3546147644519806,D6EPD,0.05514246704463442
46,1,1101.689697265625 696.0389404296875 1199.350341796875 729.9279174804688,0.4582878351211548,JOSEPQ,0.1002220672657183
47,1,1101.6239013671875 696.0365600585938 1199.37255859375 729.9288940429688,0.4588495194911957,JOSEPQ,0.11751821358557575
48,1,1100.341796875 696.8472290039062 1198.3966064453125 729.7982788085938,0.4602712392807007,DJCSEPD,0.13791060296273153
49,1,1100.32421875 696.8511352539062 1198.391845703125 729.7966918945312,0.4603654444217682,DJCSEPD,0.13791060296273153
50,1,1161.1048583984375 1112.821044921875 1306.9981689453125 1152.5357666015625,0.4308184087276459,4FG5,0.10458874702453613
51,1,1165.544189453125 1111.9962158203125 1307.0867919921875 1152.0633544921875,0.43173569440841675,4F553,0.10227753878536734
52,1,1098.2796630859375 700.630615234375 1194.927978515625 736.773681640625,0.4656560719013214,0JO6EPD,0.09485174551031875
53,1,1098.2847900390625 700.6192016601562 1194.95947265625 736.7669677734375,0.46489375829696655,0JO6EPD,0.09485174551031875
54,1,1165.7293701171875 1121.5772705078125 1305.8406982421875 1161.5841064453125,0.44785481691360474,4F653,0.08249212063058663
55,1,1165.7476806640625 1121.5750732421875 1305.8636474609375 1161.58740234375,0.44875723123550415,4F653,0.08249212063058663
56,1,1169.065185546875 1125.0771484375 1310.6279296875 1167.281982421875,0.39924687147140503,4F55,0.6270731091499329
57,1,1169.083740234375 1125.1192626953125 1310.6280517578125 1167.2489013671875,0.40330174565315247,4F55,0.6270731091499329
58,1,1173.6005859375 1128.57421875 1311.5887451171875 1171.598388671875,0.2525327205657959, ,0.0
59,1,1174.8877563476562 1131.3562622070312 1312.2623596191406 1173.28271484375,0,0,0
60,1,1176.1749267578125 1134.1383056640625 1312.9359741210938 1174.967041015625,0,0,0
61,1,1177.4620971679688 1136.9203491210938 1313.6095886230469 1176.6513671875,0,0,0
