,fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
31,600,0,"[1011.5505981445312, 1341.3681640625, 1262.552978515625, 1447.5177001953125]",0.41986900568008423,MYI-521,0.26560061554642955
32,601,0,"[1024.7139892578125, 1346.23583984375, 1261.22802734375, 1444.0621337890625]",0.4836103320121765,521,0.988310233449198
33,601,1,"[1008.1734008789062, 1334.7982177734375, 1264.2762451171875, 1465.04296875]",0.267680823802948,521,0.8348755240440369
34,602,0,"[1003.75732421875, 1343.8648681640625, 1258.030029296875, 1450.0814208984375]",0.4216991364955902,M352,0.4160776138305664
35,603,0,"[1000.7647705078125, 1345.964111328125, 1245.5980224609375, 1451.7371826171875]",0.34870338439941406,52,0.961474439908544
36,604,0,"[1027.7314453125, 1351.5118408203125, 1230.852783203125, 1443.099365234375]",0.2923355996608734,521,0.7194357494561536
37,605,0,"[1025.021484375, 1350.522216796875, 1243.2083740234375, 1450.2056884765625]",0.3267246186733246,M52,0.9540350158658633
38,606,0,"[1018.4197998046875, 1351.51953125, 1254.31640625, 1447.6337890625]",0.3979971408843994,521,0.5595775842666626
39,607,0,"[984.7525634765625, 1346.543701171875, 1258.281005859375, 1465.415771484375]",0.31455522775650024,HJL52,0.37535149857021854
40,608,0,"[1001.91455078125, 1348.6739501953125, 1253.703369140625, 1470.5335693359375]",0.3098551630973816,WJ_52,0.5668845600144202
41,609,0,"[992.7753295898438, 1356.7239990234375, 1234.159912109375, 1456.607666015625]",0.28061041235923767,MUL521,0.3284282208447413
42,611,0,"[1001.8001098632812, 1356.598388671875, 1244.173095703125, 1468.56298828125]",0.3239189088344574,MU_521,0.38094175119797424
43,612,0,"[998.5960693359375, 1357.915283203125, 1238.8670654296875, 1467.422607421875]",0.4402323365211487,52,0.9993684457559263
44,613,0,"[1007.1180419921875, 1360.590576171875, 1246.157958984375, 1466.7349853515625]",0.3195870816707611,MJL521,0.5139629929402988
45,615,0,"[1003.3203735351562, 1364.33837890625, 1231.8465576171875, 1459.3331298828125]",0.34757325053215027,MJL521,0.20840401550165077
46,617,0,"[998.0963745117188, 1367.8096923828125, 1241.6632080078125, 1460.7086181640625]",0.3327401876449585,MJL521,0.9038002235686752
47,618,0,"[990.1365966796875, 1365.48828125, 1232.5001220703125, 1484.2164306640625]",0.410517156124115,MUL5212,0.4145389663932345
48,619,0,"[981.0067749023438, 1363.0909423828125, 1231.6678466796875, 1482.3472900390625]",0.3710862994194031,MJL.521,0.703933834369083
49,620,0,"[981.9422607421875, 1369.1033935546875, 1251.258544921875, 1501.119873046875]",0.3858572542667389,MUL.52,0.7694352614658733
50,621,0,"[955.2978515625, 1364.3140869140625, 1261.572265625, 1507.5150146484375]",0.46458685398101807,MUL.52,0.4639755341495287
51,622,0,"[969.8490600585938, 1371.30224609375, 1266.3267822265625, 1509.0594482421875]",0.37866348028182983,MUL521,0.5681080976189172
